 par_1      , par_2      , par_3      , par_4      , f_value    
 +6.0429e-03, +1.0871e-02, +4.4621e-03, +4.2901e-03, +5.3705e-01
 +6.0619e-03, +1.0642e-02, +4.2802e-03, +5.1631e-03, +5.4862e-01
 +6.0240e-03, +1.1178e-02, +4.2103e-03, +5.6619e-03, +5.7467e-01
 +6.1377e-03, +1.1330e-02, +4.2566e-03, +2.6273e-03, +5.9638e-01
 +5.4177e-03, +1.0182e-02, +3.4269e-03, +5.2046e-03, +6.0050e-01
 +6.1377e-03, +1.1156e-02, +4.3197e-03, +2.6273e-03, +6.0845e-01
 +6.1377e-03, +1.1156e-02, +4.3187e-03, +2.6273e-03, +6.0846e-01
 +6.1377e-03, +1.0854e-02, +4.3981e-03, +2.6273e-03, +6.1136e-01
 +5.3041e-03, +1.2250e-02, +3.5947e-03, +3.8744e-03, +6.1273e-01
 +5.2930e-03, +1.1493e-02, +4.1868e-03, +4.3841e-03, +6.1456e-01
 +5.0957e-03, +9.4165e-03, +4.0704e-03, +3.9575e-03, +6.2052e-01
 +6.1377e-03, +1.1101e-02, +3.8466e-03, +3.1261e-03, +6.2714e-01
 +5.8535e-03, +1.1943e-02, +3.5808e-03, +3.7081e-03, +6.2733e-01
 +5.3609e-03, +1.1216e-02, +3.8605e-03, +2.9598e-03, +6.2848e-01
 +5.3988e-03, +9.3783e-03, +4.1124e-03, +4.8721e-03, +6.3045e-01
 +5.5503e-03, +1.0144e-02, +4.5041e-03, +4.9137e-03, +6.3116e-01
 +6.1187e-03, +1.0986e-02, +4.0284e-03, +4.3317e-03, +6.4141e-01
 +5.6712e-03, +9.3783e-03, +4.1205e-03, +4.5156e-03, +6.4151e-01
 +5.3230e-03, +9.7228e-03, +4.4061e-03, +3.4171e-03, +6.4275e-01
 +5.7398e-03, +1.2403e-02, +3.6087e-03, +4.7474e-03, +6.4565e-01
 +5.6830e-03, +1.1599e-02, +4.4201e-03, +3.5003e-03, +6.4699e-01
 +5.4556e-03, +1.2058e-02, +4.3082e-03, +3.0430e-03, +6.5092e-01
